date,rnum,rank,rankInten,rankOldAndNew,movieCd,rnum,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
20170101,1,1,0,OLD,20161725,1,마스터,2016-12-21,4399793100,46.3,-183705150,-4,44184434165,506299,-31485,-5.9,5441619,1245,5721
20170101,2,2,0,OLD,20163183,2,로그 원: 스타워즈 스토리,2016-12-28,1612424700,17.0,-351990650,-17.9,6739961794,173451,-40093,-18.8,769938,810,3335
20170101,3,3,0,OLD,20162025,3,씽,2016-12-21,943975500,9.9,-118258900,-11.1,9147833289,115152,-18516,-13.9,1178327,721,1755
20170101,4,4,1,OLD,20144641,4,판도라,2016-12-07,736891900,7.7,-35339100,-4.6,34692290064,87966,-6799,-7.2,4401830,576,1476
20170101,5,5,-1,OLD,20167904,5,라라랜드,2016-12-07,770889600,8.1,-162044100,-17.4,20767028832,87529,-21007,-19.4,2472637,590,1578
20170101,6,6,0,OLD,20161872,6,너의 이름은.,2017-01-04,325811500,3.4,31854500,10.8,640998500,37418,3245,9.5,74181,275,342
20170101,7,7,0,OLD,20162727,7,루돌프와 많이있어,2016-12-28,243890000,2.6,-23742600,-8.9,926773600,29910,-4074,-12,119420,372,581
20170101,8,8,0,OLD,20162183,8,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-22,154931400,1.6,-31745800,-17,1821568800,19405,-4703,-19.5,238452,300,422
20170101,9,9,0,OLD,20152371,9,"당신, 거기 있어줄래요",2016-12-14,166222000,1.7,-30383700,-15.5,9165307248,18630,-4126,-18.1,1143445,261,572
20170101,10,10,1,OLD,20165285,10,극장판 도라에몽: 신 진구의 버스 오브 재팬,2016-12-21,28628400,0.3,-7085700,-19.8,482548500,3552,-985,-21.7,62699,97,107
20170102,1,1,0,OLD,20161725,1,마스터,2016-12-21,1404122100,41.9,-2995671000,-68.1,45588556265,183423,-322876,-63.8,5625042,1161,5381
20170102,2,2,1,OLD,20162025,2,씽,2016-12-21,510182500,15.2,-433793000,-46,9658015789,70667,-44485,-38.6,1248994,647,1718
20170102,3,3,-1,OLD,20163183,3,로그 원: 스타워즈 스토리,2016-12-28,417157300,12.5,-1195267400,-74.1,7157119094,49916,-123535,-71.2,819854,756,3163
20170102,4,4,1,OLD,20167904,4,라라랜드,2016-12-07,356232200,10.6,-414657400,-53.8,21123261032,45780,-41749,-47.7,2518417,556,1654
20170102,5,5,-1,OLD,20144641,5,판도라,2016-12-07,283473300,8.5,-453418600,-61.5,34975763364,38072,-49894,-56.7,4439902,540,1495
20170102,6,6,1,OLD,20162727,6,루돌프와 많이있어,2016-12-28,136419000,4.1,-107471000,-44.1,1063192600,19063,-10847,-36.3,138483,340,533
20170102,7,7,2,OLD,20152371,7,"당신, 거기 있어줄래요",2016-12-14,77880200,2.3,-88341800,-53.1,9243187448,10133,-8497,-45.6,1153578,305,616
20170102,8,8,0,OLD,20162183,8,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-22,64021400,1.9,-90910000,-58.7,1885590200,9156,-10249,-52.8,247608,246,353
20170102,9,9,4,OLD,19890291,9,해리가 샐리를 만났을 때,1989-11-18,11575000,0.3,-5005900,-30.2,125812200,1507,-378,-20.1,16098,76,130
20170102,10,10,1,OLD,20161763,10,"나, 다니엘 블레이크",2016-12-08,10015000,0.3,-8022800,-44.5,454899100,1362,-723,-34.7,57299,39,60
20170103,1,1,0,OLD,20161725,1,마스터,2016-12-21,1036588100,36.9,-367534000,-26.2,46625144365,135859,-47564,-25.9,5760901,1173,5334
20170103,2,2,0,OLD,20162025,2,씽,2016-12-21,501522100,17.9,-8660400,-1.7,10159537889,70773,106,0.1,1319767,681,1762
20170103,3,3,1,OLD,20167904,3,라라랜드,2016-12-07,317474800,11.3,-38757400,-10.9,21440735832,41085,-4695,-10.3,2559502,567,1638
20170103,4,4,-1,OLD,20163183,4,로그 원: 스타워즈 스토리,2016-12-28,293678300,10.5,-123479000,-29.6,7450797394,35485,-14431,-28.9,855339,759,3002
20170103,5,5,0,OLD,20144641,5,판도라,2016-12-07,205442000,7.3,-78031300,-27.5,35181205364,27605,-10467,-27.5,4467507,538,1463
20170103,6,6,0,OLD,20162727,6,루돌프와 많이있어,2016-12-28,143517700,5.1,7098700,5.2,1206710300,20377,1314,6.9,158860,361,554
20170103,7,7,1,OLD,20162183,7,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-22,63022700,2.2,-998700,-1.6,1948612900,9079,-77,-0.8,256687,244,348
20170103,8,8,-1,OLD,20152371,8,"당신, 거기 있어줄래요",2016-12-14,67144600,2.4,-10735600,-13.8,9310332048,8951,-1182,-11.7,1162529,306,614
20170103,9,9,1,OLD,20161763,9,"나, 다니엘 블레이크",2016-12-08,21098300,0.8,11083300,110.7,475997400,3091,1729,126.9,60390,65,91
20170103,10,10,0,NEW,20163014,10,7년-그들이 없는 언론,2017-01-12,16408000,0.6,16408000,100,19488000,2051,2051,100,2473,10,10
20170104,1,1,0,NEW,20161872,1,너의 이름은.,2017-01-04,1032712400,24.8,1032712400,100,1674169900,138028,138028,100,212267,555,2176
20170104,2,2,-1,OLD,20161725,2,마스터,2016-12-21,784589300,18.8,-251998800,-24.3,47409733665,102362,-33497,-24.7,5863263,871,3552
20170104,3,3,0,NEW,20161084,3,패신저스,2017-01-04,652157500,15.6,652157500,100,655365500,85044,85044,100,85445,524,2225
20170104,4,4,7,OLD,20150966,4,사랑하기 때문에,2017-01-04,334212300,8.0,315529500,1688.9,490275100,44941,43011,2228.5,63618,496,1942
20170104,5,5,-3,OLD,20162025,5,씽,2016-12-21,313220000,7.5,-188302100,-37.5,10472757889,44224,-26549,-37.5,1363991,533,1113
20170104,6,6,0,NEW,20165153,6,눈의 여왕 3: 눈과 불의 마법대결,2017-01-04,239802400,5.8,239802400,100,255303400,34965,34965,100,36987,458,825
20170104,7,7,-4,OLD,20167904,7,라라랜드,2016-12-07,201287700,4.8,-116187100,-36.6,21642023532,25457,-15628,-38,2584959,385,920
20170104,8,8,4,OLD,20151181,8,여교사,2017-01-04,152788900,3.7,139499400,1049.7,180671400,19575,17907,1073.6,23013,371,910
20170104,9,9,-5,OLD,20163183,9,로그 원: 스타워즈 스토리,2016-12-28,154758800,3.7,-138919500,-47.3,7605556194,17103,-18382,-51.8,872442,482,1278
20170104,10,10,-5,OLD,20144641,10,판도라,2016-12-07,92821100,2.2,-112620900,-54.8,35274026464,12620,-14985,-54.3,4480127,335,685
20170105,1,1,0,OLD,20161872,1,너의 이름은.,2017-01-04,1003477000,26.5,-29235400,-2.8,2677646900,132463,-5565,-4,344730,780,2771
20170105,2,2,0,OLD,20161725,2,마스터,2016-12-21,709301100,18.7,-75288200,-9.6,48119034765,92234,-10128,-9.9,5955497,855,3321
20170105,3,3,0,OLD,20161084,3,패신저스,2017-01-04,522148500,13.8,-130009000,-19.9,1177514000,67929,-17115,-20.1,153374,530,2193
20170105,4,4,1,OLD,20162025,4,씽,2016-12-21,293819600,7.8,-19400400,-6.2,10766577489,41738,-2486,-5.6,1405729,553,1127
20170105,5,5,-1,OLD,20150966,5,사랑하기 때문에,2017-01-04,268551700,7.1,-65660600,-19.6,758826800,36355,-8586,-19.1,99973,495,1848
20170105,6,6,0,OLD,20165153,6,눈의 여왕 3: 눈과 불의 마법대결,2017-01-04,238594000,6.3,-1208400,-0.5,493897400,34484,-481,-1.4,71471,478,878
