rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,Nation
1,1,0,OLD,20161725,마스터,2016-12-21,4399793100,46.3,-183705150,-4,44184434165,506299,-31485,-5.9,5441619,1245,5721,2017-01-01,
2,2,0,OLD,20163183,로그 원: 스타워즈 스토리,2016-12-28,1612424700,17.0,-351990650,-17.9,6739961794,173451,-40093,-18.8,769938,810,3335,2017-01-01,
3,3,0,OLD,20162025,씽,2016-12-21,943975500,9.9,-118258900,-11.1,9147833289,115152,-18516,-13.9,1178327,721,1755,2017-01-01,
4,4,1,OLD,20144641,판도라,2016-12-07,736891900,7.7,-35339100,-4.6,34692290064,87966,-6799,-7.2,4401830,576,1476,2017-01-01,
5,5,-1,OLD,20167904,라라랜드,2016-12-07,770889600,8.1,-162044100,-17.4,20767028832,87529,-21007,-19.4,2472637,590,1578,2017-01-01,
6,6,0,OLD,20161872,너의 이름은.,2017-01-04,325811500,3.4,31854500,10.8,640998500,37418,3245,9.5,74181,275,342,2017-01-01,
7,7,0,OLD,20162727,루돌프와 많이있어,2016-12-28,243890000,2.6,-23742600,-8.9,926773600,29910,-4074,-12,119420,372,581,2017-01-01,
8,8,0,OLD,20162183,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-22,154931400,1.6,-31745800,-17,1821568800,19405,-4703,-19.5,238452,300,422,2017-01-01,
9,9,0,OLD,20152371,"당신, 거기 있어줄래요",2016-12-14,166222000,1.7,-30383700,-15.5,9165307248,18630,-4126,-18.1,1143445,261,572,2017-01-01,
10,10,1,OLD,20165285,극장판 도라에몽: 신 진구의 버스 오브 재팬,2016-12-21,28628400,0.3,-7085700,-19.8,482548500,3552,-985,-21.7,62699,97,107,2017-01-01,
1,1,0,OLD,20161725,마스터,2016-12-21,4399793100,82.9,-183705150,-4,44184434165,506299,-31485,-5.9,5441619,1245,5721,2017-01-01,_K
2,2,0,OLD,20144641,판도라,2016-12-07,736891900,13.9,-35339100,-4.6,34692290064,87966,-6799,-7.2,4401830,576,1476,2017-01-01,_K
3,3,0,OLD,20152371,"당신, 거기 있어줄래요",2016-12-14,166222000,3.1,-30383700,-15.5,9165307248,18630,-4126,-18.1,1143445,261,572,2017-01-01,_K
4,4,0,OLD,20154661,형,2016-11-23,944000,0.0,-627000,-39.9,23114712293,123,-85,-40.9,2979782,8,9,2017-01-01,_K
5,5,0,OLD,20161701,위켄즈,2016-12-22,765700,0.0,-964300,-55.7,17988700,93,-101,-52.1,2354,10,11,2017-01-01,_K
6,6,5,OLD,20161603,순종,2016-11-17,447000,0.0,241000,117,385404200,73,48,192,54529,2,2,2017-01-01,_K
7,7,-1,OLD,20162545,"무현, 두 도시 이야기",2016-10-26,410000,0.0,-309600,-43,1511840600,60,-35,-36.8,192728,5,6,2017-01-01,_K
8,8,-1,OLD,20159286,연애담,2016-11-17,315000,0.0,-149000,-32.1,183011100,38,-26,-40.6,22418,3,3,2017-01-01,_K
9,9,0,OLD,20164527,부릉! 부릉! 브루미즈: 스피더의 모험 일기,2016-12-15,186000,0.0,-76500,-29.1,81314500,21,-12,-36.4,10229,3,3,2017-01-01,_K
10,10,3,OLD,20153401,파파좀비,2016-12-29,109000,0.0,-28500,-20.7,1704500,18,0,0,274,4,4,2017-01-01,_K
