movieCd,movieNm,director,Rate
20161725,마스터,,0
20163183,로그 원: 스타워즈 스토리,,0
20162025,씽,,0
20144641,판도라,,0
20167904,라라랜드,,0
20161872,너의 이름은.,,0
20162727,루돌프와 많이있어,,0
20162183,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,,0
20152371,"당신, 거기 있어줄래요",,0
20165285,극장판 도라에몽: 신 진구의 버스 오브 재팬,,0
20154661,형,,0
20161701,위켄즈,,0
20161603,순종,,0
20162545,"무현, 두 도시 이야기",,0
20159286,연애담,,0
20164527,부릉! 부릉! 브루미즈: 스피더의 모험 일기,,0
20153401,파파좀비,,0
20161763,"나, 다니엘 블레이크",,0
20165543,하이큐!! 승자와 패자,,0
19890291,해리가 샐리를 만났을 때,,0
20150966,사랑하기 때문에,,0
20165925,음란 과외 - 무삭제판,,0
20080893,렌의 애가,,0
20160221,에곤 쉴레: 욕망이 그린 그림,,0
20163014,7년-그들이 없는 언론,,0
20151181,여교사,,0
20154342,뚜르: 내 생애 최고의 49일,,0
20155223,목숨 건 연애,,0
20167286,형의 여자,,0
20161084,패신저스,,0
20165153,눈의 여왕 3: 눈과 불의 마법대결,,0
20145486,소시민,,0
20165061,사다코 대 카야코,,0
20164485,"내 어깨 위 고양이, 밥",,0
20151228,공조,,0
20165144,걱정말아요,,0
20101406,여자의 일생,,0
20151229,더 킹,,0
19880070,칠수와 만수,,0
19688044,대원군,,0
20110014,연산군,,0
20157631,다른 길이 있다,,0
20160261,극장판 프리파라 모두 모여라! 프리즘☆투어즈,,0
20164421,어쌔신 크리드,,0
20168381,얼라이드,,0
20168324,반지의 제왕 : 반지원정대 (확장판),,0
20163845,터닝메카드W: 블랙미러의 부활,,0
20168246,음란 선비 - 무삭제판,,0
20167127,너브,,0
20165443,모아나,,0
20160881,문영,,0
20149384,청일전쟁과 여걸 민비,,0
20155700,왕자 호동,,0
19600018,하녀,,0
20168664,반지의 제왕 : 두개의 탑 (확장판),,0
20163186,단지 세상의 끝,,0
20010130,빌리 엘리어트,,0
20167324,라이언,,0
20168104,2017 한국영화아카데미 33기 졸업영화제 - B,,0
20168086,2017 한국영화아카데미 33기 졸업영화제 - A,,0
20168088,2017 한국영화아카데미 33기 졸업영화제 - D,,0
20168087,2017 한국영화아카데미 33기 졸업영화제 - C,,0
20166421,재심,,0
20167644,발레리나,,0
20168154,딥워터 호라이즌,,0
20179481,사랑받지 못한 여자,,0
20158482,동주,,0
20168688,레지던트 이블: 파멸의 날,,0
20167285,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,,0
20158799,눈길,,0
19598036,여사장,,0
20168689,반지의 제왕 : 왕의 귀환 (확장판),,0
20165822,매기스 플랜,,0
20168611,키코리키: 황금모자의 비밀,,0
20168366,바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,,0
19820052,애인,,0
20166707,재키,,0
19730023,흑권,,0
20150964,조작된 도시,,0
