date,rnum,rank,rankInten,rankOldAndNew,movieCd,rnum,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
20170801,1,1,0,OLD,20161481,1,군함도,2017-07-26,2967903300,48.6,-510534700,-14.7,37723807840,402094,-66046,-14.1,4940314,1848,9518
20170801,2,2,0,OLD,20173403,2,슈퍼배드 3,2017-07-26,1687174300,27.6,-157367800,-8.5,12595831120,242820,-21270,-8.1,1732749,997,4159
20170801,3,3,0,OLD,20164621,3,덩케르크,2017-07-20,755057300,12.4,-55455400,-6.8,20280516133,89585,-6823,-7.1,2365485,691,2122
20170801,4,4,0,OLD,20167303,4,스파이더맨: 홈 커밍,2017-07-05,252998700,4.1,-10304600,-3.9,58674983320,34024,-1378,-3.9,7201425,497,893
20170801,5,5,0,OLD,20178321,5,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,2017-07-20,130169300,2.1,10323600,8.6,1995735600,19491,1717,9.7,274381,263,375
20170801,6,6,1,OLD,20174801,6,내 사랑,2017-07-12,48192200,0.8,8021900,20,1735226825,7810,1498,23.7,228365,99,181
20170801,7,7,-1,OLD,20177181,7,47 미터,2017-07-19,54030100,0.9,-3557300,-6.2,4671184757,7384,-376,-4.8,588045,323,473
20170801,8,8,-1,OLD,20177501,8,플립,2017-07-12,44442000,0.7,-2438600,-5.2,2708682900,5927,-385,-6.1,340956,124,246
20170801,9,9,0,OLD,20175522,9,카3: 새로운 도전,2017-07-13,26302900,0.4,919700,3.6,3547755401,3893,185,5,480313,74,89
20170801,10,10,1,OLD,20162442,10,청년경찰,2017-08-09,28296000,0.5,5551000,24.4,168347200,3537,784,28.5,20548,18,18
20170802,1,1,0,NEW,20162869,1,택시운전사,2017-08-02,5116354700,53.4,5116354700,100,5687344800,698088,698088,100,784801,1446,7068
20170802,2,2,-1,OLD,20161481,2,군함도,2017-07-26,1826982300,19.1,-1140921000,-38.4,39550790140,248200,-153894,-38.3,5188514,1109,4924
20170802,3,3,-1,OLD,20173403,3,슈퍼배드 3,2017-07-26,1307515600,13.6,-379658700,-22.5,13903346720,189977,-52843,-21.8,1922726,844,2986
20170802,4,4,11,OLD,20170124,4,명탐정 코난:진홍의 연가,2017-08-02,645190000,6.7,638854000,10082.9,664845000,94241,93185,8824.3,96959,546,1129
20170802,5,5,-2,OLD,20164621,5,덩케르크,2017-07-20,371246800,3.9,-383810500,-50.8,20651762933,40643,-48942,-54.6,2406128,438,951
20170802,6,6,-1,OLD,20178321,6,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,2017-07-20,55231300,0.6,-74938000,-57.6,2050966900,8308,-11183,-57.4,282689,123,145
20170802,7,7,-3,OLD,20167303,7,스파이더맨: 홈 커밍,2017-07-05,60191300,0.6,-192807400,-76.2,58735174620,8123,-25901,-76.1,7209548,117,187
20170802,8,8,0,NEW,20179186,8,이모티: 더 무비,2017-08-02,46349500,0.5,46349500,100,47557500,6710,6710,100,6861,126,264
20170802,9,9,-3,OLD,20174801,9,내 사랑,2017-07-12,30126500,0.3,-18065700,-37.5,1765353325,4733,-3077,-39.4,233098,59,136
20170802,10,10,0,NEW,20161081,10,애나벨 : 인형의 주인,2017-08-10,24408000,0.3,24408000,100,24408000,3051,3051,100,3051,9,10
20170803,1,1,0,OLD,20162869,1,택시운전사,2017-08-02,4825521000,57.4,-290833700,-5.7,10512865800,651779,-46309,-6.6,1436580,1553,7293
20170803,2,2,0,OLD,20161481,2,군함도,2017-07-26,1462878500,17.4,-364103800,-19.9,41013668640,199203,-48997,-19.7,5387717,1075,4628
20170803,3,3,0,OLD,20173403,3,슈퍼배드 3,2017-07-26,1087898100,12.9,-219617500,-16.8,14991244820,158155,-31822,-16.8,2080881,859,2955
20170803,4,4,0,OLD,20170124,4,명탐정 코난:진홍의 연가,2017-08-02,374427600,4.5,-270762400,-42,1039272600,54243,-39998,-42.4,151202,582,1198
20170803,5,5,0,OLD,20164621,5,덩케르크,2017-07-20,344822200,4.1,-26424600,-7.1,20996585133,37230,-3413,-8.4,2443358,432,909
20170803,6,6,0,OLD,20178321,6,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,2017-07-20,48053000,0.6,-7178300,-13,2099019900,7209,-1099,-13.2,289898,120,141
