date,rnum,rank,rankInten,rankOldAndNew,movieCd,rnum,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
20170701,1,1,0,OLD,20178982,1,박열,2017-06-28,2746194244,48.4,1346084118,96.1,6516658370,330776,156640,90,867373,1176,5812
20170701,2,2,0,OLD,20166967,2,트랜스포머: 최후의 기사,2017-06-21,1293840000,22.8,751510900,138.6,18786973328,151334,87407,136.7,2277287,877,3575
20170701,3,3,0,OLD,20159647,3,리얼,2017-06-28,550755256,9.7,170967382,45,2268094130,67807,21216,45.5,322987,735,2826
20170701,4,4,0,OLD,20158485,4,옥자,2017-06-29,291290500,5.1,128671700,79.1,663847900,37281,16019,75.3,86760,111,399
20170701,5,5,1,OLD,20166488,5,미이라,2017-06-06,134266700,2.4,67866800,102.2,30171256778,15977,7706,93.2,3644926,314,580
20170701,6,6,-1,OLD,20166384,6,하루,2017-06-15,111680244,2.0,38744218,53.1,8838035942,13441,4235,46,1099119,420,891
20170701,7,7,0,OLD,20176961,7,지랄발광 17세,2017-06-28,80227300,1.4,24784400,44.7,228136900,9410,2773,41.8,29410,84,384
20170701,8,8,0,OLD,20162343,8,악녀,2017-06-08,66880700,1.2,28138600,72.6,9569627444,7910,3088,64,1185785,233,420
20170701,9,9,6,OLD,20178121,9,부니베어: 로거빅 컴백홈 프로젝트,2017-06-29,50438200,0.9,43862700,667.1,66697100,6935,5943,599.1,9264,277,392
20170701,10,10,19,OLD,20175821,10,언더더씨,2017-06-22,42139200,0.7,40090700,1957.1,230721200,5413,5106,1663.2,30016,109,171
20170702,1,1,0,OLD,20178982,1,박열,2017-06-28,2601598600,49.4,-144595644,-5.3,9118256970,313188,-17588,-5.3,1180561,1172,5734
20170702,2,2,0,OLD,20166967,2,트랜스포머: 최후의 기사,2017-06-21,1193159100,22.7,-100680900,-7.8,19980132428,140851,-10483,-6.9,2418138,894,3507
20170702,3,3,0,OLD,20159647,3,리얼,2017-06-28,428498400,8.1,-122256856,-22.2,2696592530,50734,-17073,-25.2,373721,679,2571
20170702,4,4,0,OLD,20158485,4,옥자,2017-06-29,233010500,4.4,-58280000,-20,896858400,30087,-7194,-19.3,116847,103,373
20170702,5,5,0,OLD,20166488,5,미이라,2017-06-06,137442300,2.6,3175600,2.4,30308699078,16355,378,2.4,3661281,322,598
20170702,6,6,0,OLD,20166384,6,하루,2017-06-15,106433000,2.0,-5247244,-4.7,8944468942,12739,-702,-5.2,1111858,409,857
20170702,7,7,0,OLD,20176961,7,지랄발광 17세,2017-06-28,88298100,1.7,8070800,10.1,316435000,10311,901,9.6,39721,86,423
20170702,8,8,2,OLD,20175821,8,언더더씨,2017-06-22,58040800,1.1,15901600,37.7,288762000,7359,1946,36,37375,115,182
20170702,9,9,0,OLD,20178121,9,부니베어: 로거빅 컴백홈 프로젝트,2017-06-29,53321000,1.0,2882800,5.7,120018100,7217,282,4.1,16481,268,394
20170702,10,10,-2,OLD,20162343,10,악녀,2017-06-08,60680900,1.2,-6199800,-9.3,9630308344,7103,-807,-10.2,1192888,220,386
20170703,1,1,0,OLD,20178982,1,박열,2017-06-28,836172000,52.1,-1765426600,-67.9,9954428970,113352,-199836,-63.8,1293913,1089,5350
20170703,2,2,0,OLD,20166967,2,트랜스포머: 최후의 기사,2017-06-21,246206700,15.3,-946952400,-79.4,20226339128,31444,-109407,-77.7,2449582,807,3213
20170703,3,3,0,OLD,20159647,3,리얼,2017-06-28,159148000,9.9,-269350400,-62.9,2855740530,21996,-28738,-56.6,395717,634,2401
20170703,4,4,0,OLD,20158485,4,옥자,2017-06-29,96769400,6.0,-136241100,-58.5,993627800,13246,-16841,-56,130093,92,326
20170703,5,5,0,OLD,20166488,5,미이라,2017-06-06,45070200,2.8,-92372100,-67.2,30353769278,6130,-10225,-62.5,3667411,287,601
20170703,6,6,0,OLD,20166384,6,하루,2017-06-15,39556600,2.5,-66876400,-62.8,8984025542,5406,-7333,-57.6,1117264,376,842
20170703,7,7,0,OLD,20176961,7,지랄발광 17세,2017-06-28,38166400,2.4,-50131700,-56.8,354601400,4979,-5332,-51.7,44700,86,422
20170703,8,8,2,OLD,20162343,8,악녀,2017-06-08,29907200,1.9,-30773700,-50.7,9660215544,4046,-3057,-43,1196934,241,491
20170703,9,9,5,OLD,20020186,9,헤드윅,2002-08-09,17758900,1.1,-11407700,-39.1,168204231,2280,-1039,-31.3,21772,90,166
20170703,10,10,2,OLD,20174602,10,노무현입니다,2017-05-25,14496500,0.9,-28759600,-66.5,14402688312,2034,-3264,-61.6,1833227,163,275
20170704,1,1,0,OLD,20178982,1,박열,2017-06-28,765695800,48.5,-70476200,-8.4,10720124770,104154,-9198,-8.1,1398067,1102,5343
20170704,2,2,0,OLD,20166967,2,트랜스포머: 최후의 기사,2017-06-21,238474900,15.1,-7731800,-3.1,20464814028,30372,-1072,-3.4,2479954,801,3174
20170704,3,3,0,OLD,20159647,3,리얼,2017-06-28,144161600,9.1,-14986400,-9.4,2999902130,20030,-1966,-8.9,415747,635,2347
20170704,4,4,0,OLD,20158485,4,옥자,2017-06-29,92658400,5.9,-4111000,-4.2,1086286200,12652,-594,-4.5,142745,97,334
20170704,5,5,0,OLD,20166488,5,미이라,2017-06-06,44304700,2.8,-765500,-1.7,30398073978,5985,-145,-2.4,3673396,282,600
20170704,6,6,0,OLD,20166384,6,하루,2017-06-15,42487200,2.7,2930600,7.4,9026512742,5809,403,7.5,1123073,379,837
20170704,7,7,0,OLD,20176961,7,지랄발광 17세,2017-06-28,35682100,2.3,-2484300,-6.5,390283500,4716,-263,-5.3,49416,90,417
20170704,8,8,0,OLD,20162343,8,악녀,2017-06-08,27094200,1.7,-2813000,-9.4,9687309744,3656,-390,-9.6,1200590,240,481
20170704,9,9,3,OLD,20167303,9,스파이더맨: 홈 커밍,2017-07-05,27943000,1.8,19895000,247.2,55635000,3098,2092,208,6197,8,8
20170704,10,10,0,OLD,20174602,10,노무현입니다,2017-05-25,16299300,1.0,1802800,12.4,14418987612,2409,375,18.4,1835636,163,279
20170705,1,1,8,OLD,20167303,1,스파이더맨: 홈 커밍,2017-07-05,4247740050,84.8,4219797050,15101.4,4303375050,545302,542204,17501.7,551499,1703,9117
20170705,2,2,-1,OLD,20178982,2,박열,2017-06-28,431482500,8.6,-334213300,-43.6,11151607270,59576,-44578,-42.8,1457643,743,3228
