0,1,2
20170808,10,도라에몽도라에몽도라에몽도라에몽도라에몽도라에몽도라에몽도라에몽도라에몽  
20170807,10,상암cgv에도 상품을 주면좋겠네여~  
20170807,10,진구의 남극 꽁꽁 대모험 무지 재밌갰네요.이번엔 진구와 친구들이 도라에몽을 지켜주네요.많은시청랍니다^^  
20170807,10,저 어릴적 부터 사랑해온 도라에몽매년애들 방학에 함께 가서 보는데 이번에도 역시 재미있네요^^  
20170807,10,도라에몽은 꼭 챙겨보는 아이들이에요너무 재미있어요 역시 도라에몽은 믿고 봅니다^^  
20170806,10,도라에몽 코 만져보고싶다  
20170804,10,진짜 보고싶은데 어디서 개봉하나요?  
20170803,10,너무나 기대되네요~~  
20170802,9,"스토리는 좋았지만, 예고편이 너무 기대하게 했어서 약간 아쉽네요. 기대가 너무 컸던 것인지 모르겠습니다.  "
20170802,10,시사회 보고왔습니당! 저는 모험장르 좋아해서 도라에몽 애니메이션을 자주보는데요  이번거는  거의  고대도시를 발견하고  거기서  팔찌주인은 누구인지 또  밝혀내고~  액션신있고  웃기면서 저는  매우 만족입니다!  좋아하는거 다 갖춘것같아요 ㅎ추천해용  
20170801,8," 예고편에서의 감동을 기대하며 보면 조금 실망 하실 수도 있다고 생각합니다 ㅜㅜ sf적 요소, 어드벤처 위주로 감상하시는걸 추천해요! 박진감 넘치고 웅장한 bgm이 정말 좋습니다!  "
20170801,10,도라에몽 극장판 시원하구 좋아용!~~  
20170801,10,도라에몽극장판 재미있었습니다  
20170801,10,진구와 도라에몽의 환상모험 넘 재밌음  
20170801,10,아이가 너무 고 하네요. 역시 도라에몽~♥  
20170801,10,너무 재밌어요 역시 도라에몽!!!!  
20170801,10,아이가 너무재미있어해요~^^  
20170801,10,재미있어요..꼭 보세요  
20170801,10,너무너무 재미있었어요  
20170801,10,좋아요 굿굿굿!...  
20170801,10,재미있어요..아이들이 즐겁게 봤어요  
20170801,10,최고예요 감사합니다ㅠㅜ도러에몽 흥하자 러부러부  
20170801,8,"도라에몽,  진구와 친구들의 남극대모험은 흥미진진하고 함께하는 따뜻한 여정과 아름답고 끈끈한 우정을 보여주네요. 도라에몽의 신기한 도구들과 즐거운 상상력, 그리고 감동적인 에피소드가 마음을 아름답게 해주었어요.^^  "
20170801,10,극장판화이팅!도라에몽  
20170801,10,아이들이 정말 즐겁게 잘 봤어요~강추강추ㅎㅎ  
20170801,10,역시 도라에몽~♡♡♡  
20170801,10,진구의남극꽁꽁대모험 정말 재밌어요  
