movieCd,movieNm,director,naver_movieCd,ntz_see_score,spc_score,ntz_score
20165748,꾼,장창원,152385.0,8.32,4.4,7.63
20173581,기억의 밤,장항준,160399.0,8.41,5.67,8.16
20178581,오리엔트 특급 살인,케네스 브래너,154272.0,7.87,5.88,8.02
20161762,반드시 잡는다,김홍선,155411.0,8.12,6.5,7.51
20040695,이프 온리,길 정거,39440.0,9.24,6.0,9.08
20168221,저스티스 리그,잭 스나이더,116866.0,7.9,5.83,7.74
20179942,러빙 빈센트,도로타 코비엘라,144379.0,9.16,7.5,9.2
20175121,토르: 라그나로크,타이카 와이티티,134898.0,9.02,6.13,8.83
20174622,해피 데스데이,크리스토퍼 랜던,164932.0,8.32,0.0,8.22
20080349,버킷 리스트:죽기전에 꼭 하고싶은것들,롭 라이너,69102.0,0.0,5.5,9.08
20175223,래빗 스쿨,우테 폰 뮌쇼폴,166008.0,8.56,0.0,8.83
20174073,빅 배드 폭스,벤자민 레너,166807.0,9.05,7.0,8.82
20170272,산상수훈,유영의,164335.0,8.41,3.0,6.62
20175441,채비,조영준,162932.0,8.81,5.0,8.73
20175903,은혼,후쿠다 유이치,154594.0,8.52,0.0,7.3
20174585,메리와 마녀의 꽃,요네바야시 히로마사,159037.0,7.92,5.83,7.1
20173693,어쌔신: 더 비기닝,마이클 쿠에스타,100205.0,8.07,5.5,6.94
20174846,뽀로로 극장판 공룡섬 대모험,김현호,169349.0,9.21,0.0,9.17
20167904,라라랜드,데이미언 셔젤,134963.0,8.9,8.34,8.59
20170402,강철비,양우석,155665.0,8.73,7.18,8.35
20170443,스타워즈: 라스트 제다이,라이언 존슨,125488.0,7.8,7.71,6.59
20150976,신과함께-죄와 벌,김용화,85579.0,8.73,5.92,7.84
20175481,튤립 피버,저스틴 채드윅,125418.0,7.7,5.33,7.34
20000067,러브레터,이와이 슌지,19031.0,9.43,8.63,9.11
20170590,1987,장준환,158191.0,9.31,8.08,9.24
20179462,위대한 쇼맨,마이클 그레이시,106360.0,9.29,6.6,9.38
20030404,러브 액츄얼리,리차드 커티스,36843.0,9.22,7.0,8.97
20174965,극장판 포켓몬스터 너로 정했다!,유야마 쿠니히코,165722.0,8.91,6.0,8.85
20176082,몬스터 패밀리,호거 태프,163844.0,8.31,6.0,8.33
20176022,더 크리스마스,티모시 렉카트,168478.0,8.75,7.0,8.87
20176049,패터슨,짐 자무쉬,144975.0,8.51,8.2,8.32
