,movieCd,movieNm,director,Rate
0,20165748,꾼,장창원,0
1,20173581,기억의 밤,장항준,0
2,20178581,오리엔트 특급 살인,케네스 브래너,0
3,20161762,반드시 잡는다,김홍선,0
4,20040695,이프 온리,길 정거,0
5,20168221,저스티스 리그,잭 스나이더,0
6,20179942,러빙 빈센트,도로타 코비엘라,0
7,20175121,토르: 라그나로크,타이카 와이티티,0
8,20174622,해피 데스데이,크리스토퍼 랜던,0
9,20080349,버킷 리스트:죽기전에 꼭 하고싶은것들,롭 라이너,0
10,20175223,래빗 스쿨,우테 폰 뮌쇼폴,0
11,20174073,빅 배드 폭스,벤자민 레너,0
12,20170272,산상수훈,유영의,0
13,20175441,채비,조영준,0
14,20175903,은혼,후쿠다 유이치,0
15,20174585,메리와 마녀의 꽃,요네바야시 히로마사,0
16,20173693,어쌔신: 더 비기닝,마이클 쿠에스타,0
17,20174846,뽀로로 극장판 공룡섬 대모험,김현호,0
18,20167904,라라랜드,데이미언 셔젤,0
19,20170402,강철비,양우석,0
20,20170443,스타워즈: 라스트 제다이,라이언 존슨,0
21,20150976,신과함께-죄와 벌,김용화,0
22,20175481,튤립 피버,저스틴 채드윅,0
23,20176367,극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~,고로 사쿠라,0
24,20000067,러브레터,이와이 슌지,0
25,20170590,1987,장준환,0
26,20179462,위대한 쇼맨,마이클 그레이시,0
27,20030404,러브 액츄얼리,리차드 커티스,0
28,20174965,극장판 포켓몬스터 너로 정했다!,유야마 쿠니히코,0
29,20176082,몬스터 패밀리,호거 태프,0
30,20176022,더 크리스마스,티모시 렉카트,0
31,20176049,패터슨,짐 자무쉬,0
32,20176947,원더,스티븐 크보스키,0
33,20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,모리와키 마코토,0
34,20172742,범죄도시,강윤성,0
35,20171024,너의 췌장을 먹고 싶어,츠키카와 쇼,0
36,20173694,지오스톰,딘 데블린,0
37,20164424,대장 김창수,이원태,0
38,20070454,원스,존 카니,0
39,20165450,남한산성,황동혁,0
40,20176767,"나는 내일, 어제의 너와 만난다",미키 타카히로,0
41,20174142,아이 캔 스피크,김현석,0
42,20175208,뷰티풀 투모로우,장재혁,0
43,20172603,부라더,장유정,0
44,20169643,침묵,정지우,0
45,20173724,직쏘,피터 스피어이그,0
46,20173806,노 게임 노 라이프 -제로-,이시즈카 아츠코,0
47,20173612,메소드,방은진,0
48,20177342,내게 남은 사랑을,진광교,0
49,20174902,신서유기 : 몽키킹의 부활,텐 샤오펑,0
50,20171817,넛잡 2,캘런 브런커,0
51,20161681,미옥,이안규,0
52,20173804,배드 지니어스,나타우트 푼프리야,0
53,20173931,리빙보이 인 뉴욕,마크 웹,0
54,20175244,극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지 ,타케모토 노보루,0
55,20168754,7호실,이용승,0
56,20175611,페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,스도 토모노리,0
57,20174222,키드냅,루이스 프리에토,0
58,20173903,역모-반란의 시대,김홍선,0
59,20174778,하이큐!! 재능과 센스,미츠나카 스스무,0
60,20175288,피터와 모글리의 크리스마스 어드벤처,타파스 차크라바르티,0
61,20175222,킹스맨: 골든 서클,매튜 본,0
62,20172142,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,우시로 신지,0
63,20170364,레고 닌자고 무비,찰리 빈,0
64,20154909,살인자의 기억법,원신연,0
65,20171962,킬러의 보디가드,패트릭 휴즈,0
66,20171090,베이비 드라이버,에드가 라이트,0
67,20172627,리틀 프린세스 소피아 : 신비한 섬,제이미 미첼,0
68,20173945,인비저블 게스트,오리올 파울로,0
69,20166132,김광석,이상호,0
70,20170964,딥,줄리오 소토 거피드,0
71,20171369,매직울프,안드레이 갈랏,0
72,20168282,블레이드 러너 2049,드니 빌뇌브,0
73,20154907,희생부활자,곽경택,0
74,20171312,우리의 20세기,마이크 밀스,0
75,20173092,어메이징 메리,마크 웹,0
76,20169463,다시 태어나도 우리,전진,0
77,20172942,나의 엔젤,해리 클레븐,0
78,20175943,주키퍼스 와이프,니키 카로,0
79,20158047,발레리안: 천 개 행성의 도시,뤽 베송,0
80,20172064,마더!,대런 아로노프스키,0
81,20176761,잠깐만 회사 좀 관두고 올게,나루시마 이즈루,0
82,20164481,유리정원,신수원,0
83,20174103,배저로와 친구들: 신비한 모험,룬 스파안스,0
84,20162442,청년경찰,김주환,0
85,20162869,택시운전사,장훈,0
86,20164174,브이아이피,박훈정,0
87,20179491,아토믹 블론드,데이빗 레이치,0
88,20151003,장산범,허정,0
89,20179407,로마의 휴일,이덕희,0
90,20179901,혹성탈출: 종의 전쟁,맷 리브스,0
91,20179187,공범자들,최승호,0
92,20179696,그것,안드레스 무시에티,0
93,20170268,매혹당한 사람들,소피아 코폴라,0
94,20171022,극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,닛타 노리오,0
95,20171923,저수지 게임,최진성,0
96,20172148,몬스터 섬의 비밀,레오폴도 아귈라,0
97,20160703,"좋아해, 너를",이마이즈미 리키야,0
98,20177541,아메리칸 메이드,더그 라이만,0
99,20170607,몬스터 콜,후안 안토니오 바요나,0
100,20170302,윈드 리버,테일러 쉐리던,0
101,20161481,군함도,류승완,0
102,20168241,잃어버린 도시 Z,제임스 그레이,0
103,20173403,슈퍼배드 3,피에르 꼬팽,0
104,20164621,덩케르크,크리스토퍼 놀란,0
105,20167303,스파이더맨: 홈 커밍,존 와츠,0
106,20178321,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,하시모토 마사카즈,0
107,20174801,내 사랑,에이슬링 월쉬,0
108,20177181,47 미터,조하네스 로버츠,0
109,20177501,플립,롭 라이너,0
110,20175522,카3: 새로운 도전,브라이언 피,0
111,20170124,명탐정 코난:진홍의 연가,시즈노 코분,0
112,20179186,이모티: 더 무비,토니 레온디스,0
113,20161081,애나벨 : 인형의 주인,데이비드 F. 샌드버그,0
114,20178762,파리로 가는 길,엘레노어 코폴라,0
115,20178641,빅풋 주니어,제레미 드그루손,0
116,20179085,극장판 도라에몽: 진구의 남극 꽁꽁 대모험,다카하시 아츠시,0
117,20179226,드래곤 스펠: 마법 꽃의 비밀,마누크 데포얀,0
118,20170022,다크타워: 희망의 탑,니콜라이 아르셀,0
119,20165001,더 테이블,김종관,0
120,20170389,극장판 위 베어 베어스: 곰 브라더스,매니 에르난데스,0
121,20178982,박열,이준익,0
122,20166967,트랜스포머: 최후의 기사,마이클 베이,0
123,20159647,리얼,이사랑,0
124,20158485,옥자,봉준호,0
125,20166488,미이라,알렉스 커츠먼,0
126,20166384,하루,조선호,0
127,20176961,지랄발광 17세,켈리 프레몬,0
128,20162343,악녀,정병길,0
129,20178121,부니베어: 로거빅 컴백홈 프로젝트,정량,0
130,20175821,언더더씨,에반 트라멜,0
131,20020186,헤드윅,존 카메론 밋첼,0
132,20174602,노무현입니다,이창재,0
133,20176102,그 후,홍상수,0
134,20176983,킹 오브 프리즘 - 프라이드 더 히어로,히시다 마사카즈,0
135,20176511,베를린 신드롬,케이트 쇼트랜드,0
136,20179807,젝스키스 20주년 기념 하와이 영상 NEW KIES ON THE [HONOLULU],---,0
137,20176741,꼬마참새 리차드: 아프리카 원정대,토비 젠켈,0
138,20177202,토마스와 친구들: 수수께끼 해적선과 보물찾기,데이비드 스토튼,0
139,20081056,다크 나이트,크리스토퍼 놀란,0
140,20177761,오즈: 신기한 마법가루,블라디미르 토로프킨,0
141,20176562,예수는 역사다,존 건,0
142,20179245,판타스틱 단편 걸작선 1,---,0
143,20161872,너의 이름은.,신카이 마코토,0
144,20176781,내가 죽기 전에 가장 듣고 싶은 말,마크 펠링톤,0
145,20177701,위시 어폰,존 R. 레오네티,0
146,20178646,송 투 송,테렌스 맬릭,0
147,20168261,원더 우먼,팻티 젠킨스,0
148,20169348,대립군,정윤철,0
149,20170982,캐리비안의 해적: 죽은 자는 말이 없다,에스펜 샌버그,0
150,20175262,겟 아웃,조던 필,0
151,20174803,7번째 내가 죽던 날,라이 루소 영,0
152,20164844,불한당: 나쁜 놈들의 세상,변성현,0
153,20162629,하이큐!! 끝과 시작,미츠나카 스스무,0
154,20173642,너와 100번째 사랑,츠키카와 쇼,0
155,20176141,베이블레이드 버스트 갓 : 갓 발키리의 탄생,야마구치 켄타로,0
156,20174061,보스 베이비,톰 맥그라스,0
157,20174821,바다 탐험대 옥토넛 시즌4: 더 파이널,다라 오코넬,0
158,20175581,파워배틀 와치카: 와치가면의 역습,이영준,0
159,20160483,꿈의 제인,조현훈,0
160,20173833,심야식당 2,마츠오카 조지,0
161,20175142,극장판 쿠로코의 농구 라스트 게임,타다 슌스케,0
162,20168041,용순,신준,0
163,20175423,나의 붉은고래,양선,0
164,20175662,엘르,폴 버호벤,0
165,20172241,꼬마돼지 베이브의 대모험,테레사 스트로젝,0
166,20176201,더 서클,제임스 폰솔트,0
167,20175982,다크 하우스,대런 린 보우즈만,0
168,20040526,첫키스만 50번째,피터 시걸,0
169,20161726,임금님의 사건수첩,문현성,0
170,20162871,특별시민,박인제,0
171,20167542,분노의 질주: 더 익스트림,F. 게리 그레이,0
172,20161665,스머프: 비밀의 숲,캘리 애스버리,0
173,20174165,극장판 또봇: 로봇군단의 습격,고동우,0
174,20164721,미녀와 야수,빌 콘돈,0
