movieCd,movieNm,director,Rate
20178982,박열,,0
20166967,트랜스포머: 최후의 기사,,0
20159647,리얼,,0
20158485,옥자,,0
20166488,미이라,,0
20166384,하루,,0
20176961,지랄발광 17세,,0
20162343,악녀,,0
20178121,부니베어: 로거빅 컴백홈 프로젝트,,0
20175821,언더더씨,,0
20020186,헤드윅,,0
20174602,노무현입니다,,0
20167303,스파이더맨: 홈 커밍,,0
20176102,그 후,,0
20176983,킹 오브 프리즘 - 프라이드 더 히어로,,0
20176511,베를린 신드롬,,0
20179807,젝스키스 20주년 기념 하와이 영상 NEW KIES ON THE [HONOLULU],,0
20176741,꼬마참새 리차드: 아프리카 원정대,,0
20177202,토마스와 친구들: 수수께끼 해적선과 보물찾기,,0
20162869,택시운전사,,0
20081056,다크 나이트,,0
20177761,오즈: 신기한 마법가루,,0
20177501,플립,,0
20174801,내 사랑,,0
20175522,카3: 새로운 도전,,0
20176562,예수는 역사다,,0
20179245,판타스틱 단편 걸작선 1,,0
20161872,너의 이름은.,,0
20177181,47 미터,,0
20176781,내가 죽기 전에 가장 듣고 싶은 말,,0
20164621,덩케르크,,0
20177701,위시 어폰,,0
20178321,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,,0
20161481,군함도,,0
20173403,슈퍼배드 3,,0
20178646,송 투 송,,0
20162442,청년경찰,,0
