Unnamed: 0,movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
0,마스터,145162,8.65,5.77,8.1
1,로그 원: 스타워즈 스토리,136868,8.34,7.16,8.44
2,라라랜드,134963,8.9,8.34,8.59
3,씽,144938,8.99,6.71,8.96
4,판도라,132933,8.78,5.92,8.31
5,"당신, 거기 있어줄래요",145292,8.8,5.44,8.68
6,너의 이름은.,150198,9.02,7.55,8.75
7,미씽: 사라진 여자,142625,8.53,6.72,8.37
8,패신저스,116233,8.03,5.5,7.95
9,여교사,139673,7.31,6.78,6.61
10,형,142803,8.91,4.55,8.34
11,에곤 쉴레: 욕망이 그린 그림,154307,8.05,6.25,7.93
12,루돌프와 많이있어,153951,8.73,6.38,8.8
13,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,152265,8.74,0.0,8.75
14,사랑하기 때문에,140010,8.39,6.0,8.03
15,목숨 건 연애,142263,7.53,4.0,4.31
16,신비한 동물사전,115642,8.69,7.08,8.18
17,캡틴 판타스틱,127396,8.97,7.5,8.71
18,더 킹,144314,8.39,6.83,8.08
19,매드맥스: 분노의 도로,77768,8.86,8.75,8.76
20,"나, 다니엘 블레이크",150376,9.28,8.4,9.25
21,어카운턴트,134859,8.15,4.0,8.3
22,극장판 도라에몽:신 진구의 버스 오브 재팬,141675,8.95,0.0,9.04
23,최후의 Z,102805,10.0,0.0,6.05
24,"그 시절, 우리가 좋아했던 소녀",88669,9.14,6.0,9.02
25,하이큐!! 승자와 패자,155963,9.27,0.0,9.03
26,사다코 대 카야코,149283,6.74,2.5,5.83
27,"무현, 두 도시 이야기",152183,9.44,6.0,8.68
28,내 남편의 가정교사,158788,0.0,0.0,6.9
29,잭 리처: 네버 고 백,119412,8.13,4.88,7.15
30,어쌔신 크리드,118307,7.29,5.67,7.1
31,업 포 러브,146386,8.77,6.5,8.15
32,연애담,149481,8.93,7.0,7.47
33,미스 사이공: 25주년 특별 공연,155123,9.36,0.0,9.17
34,해리가 샐리를 만났을 때,10250,7.75,8.5,8.9
35,미인어,127383,7.96,6.0,7.94
36,원피스 필름 골드,146214,9.12,6.78,8.95
