,movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
0,공조,142384,8.83,5.0,8.27
1,더 킹,144314,8.39,6.83,8.08
2,레지던트 이블: 파멸의 날,110333,8.59,6.0,8.38
3,너의 이름은.,150198,9.02,7.55,8.75
4,모아나,130849,9.22,6.4,9.15
5,컨택트,136869,8.45,7.29,8.18
6,딥워터 호라이즌,137346,8.77,6.5,8.05
7,라라랜드,134963,8.9,8.34,8.59
8,여교사,139673,7.31,6.78,6.61
9,얼라이드,149777,8.58,6.5,8.86
10,마스터,145162,8.65,5.77,8.1
11,사랑하기 때문에,140010,8.39,6.0,8.03
12,닥터 스트레인지,125459,8.88,7.03,8.71
13,몬스터콜,125401,8.59,6.88,8.57
14,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,149050,8.76,0.0,8.86
15,판도라,132933,8.78,5.92,8.31
16,돈키호테 맨 오브 라만차,130931,0.0,0.0,6.65
17,맛있는 워킹걸,158764,0.0,0.0,3.67
18,재키,144990,7.42,6.4,7.09
19,매기스 플랜,136859,8.07,6.86,7.91
20,핵소 고지,142305,9.19,6.0,9.2
21,터닝메카드W: 블랙미러의 부활,155484,8.87,0.0,8.73
22,은하,138209,0.0,0.0,4.25
23,트리플 엑스 리턴즈,102278,8.18,0.0,6.98
24,50가지 그림자: 심연,144081,7.77,2.25,7.42
25,군함도,146506,7.34,6.17,5.28
26,동창회의 목적: 더 비기닝,153423,0.0,0.0,6.06
27,해빙,137875,6.64,6.0,6.5
28,라이언,134841,9.3,6.5,9.18
29,스플릿,146512,9.15,6.38,8.99
30,23 아이덴티티,144927,7.94,6.5,7.65
31,뚜르: 내 생애 최고의 49일,142304,9.51,6.2,9.25
32,용의자,93028,8.27,6.47,8.35
33,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,0.0,0.0,6.48
34,블랙,68567,9.42,6.93,9.04
35,미션 임파서블: 로그네이션,95541,8.81,7.54,8.75
36,조작된 도시,127382,8.56,5.22,8.03
37,대역전,148961,0.0,0.0,0.0
38,사운드 오브 뮤직,10102,9.6,0.0,9.39
39,바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,158266,8.3,0.0,8.27
40,그레이트 월,126034,7.92,4.5,6.45
41,단지 세상의 끝,137958,7.66,6.9,7.46
42,초속5센티미터,66820,9.48,7.0,8.38
43,검사외전,130903,8.56,5.94,7.94
